date,H_BTC_BTC,H_BTC_ETH,H_BTC_USDe,H_BTC_USDC,H_ETH_BTC,H_ETH_ETH,H_ETH_USDe,H_ETH_USDC,H_USDe_BTC,H_USDe_ETH,H_USDe_USDe,H_USDe_USDC,H_USDC_BTC,H_USDC_ETH,H_USDC_USDe,H_USDC_USDC
2024-09-15,0.0006442204252294073,0.0007060047382765579,3.1819430514322095e-06,-6.561162853969978e-07,0.0007060047382765578,0.0011586990772852065,3.3375677252158072e-06,-1.4798111233093646e-06,3.181943051432209e-06,3.3375677252158076e-06,1.4490771878486803e-07,3.330402141946644e-09,-6.561162853969977e-07,-1.4798111233093646e-06,3.330402141946644e-09,8.584792030620581e-06
2024-09-16,0.0006292862497678725,0.0008215893104126311,3.096363147489631e-06,-6.49985830177098e-07,0.000821589310412631,0.0016063912361210051,3.869221830143745e-06,-1.7465544016520292e-06,3.096363147489631e-06,3.869221830143745e-06,1.404741971930866e-07,3.287742328335399e-09,-6.49985830177098e-07,-1.7465544016520292e-06,3.287742328335399e-09,8.624695476458742e-06
2024-09-17,0.0006254613979236762,0.0007576090951401173,2.9869018141418354e-06,-6.471039139302975e-07,0.0007576090951401173,0.0013742945376962329,3.4628240292651894e-06,-1.6130790382867084e-06,2.9869018141418354e-06,3.4628240292651894e-06,1.315175315737184e-07,3.1776090147822286e-09,-6.471039139302975e-07,-1.6130790382867086e-06,3.1776090147822286e-09,8.600408465034874e-06
2024-09-18,0.0006123615917979978,0.0007146749829708267,2.8762134309844385e-06,-6.401786242583938e-07,0.0007146749829708267,0.0012491060808195512,3.212819792577277e-06,-1.5378702822060777e-06,2.8762134309844385e-06,3.2128197925772764e-06,1.2455898961388256e-07,3.092877041942077e-09,-6.40178624258394e-07,-1.5378702822060777e-06,3.092877041942077e-09,8.601574223203864e-06
2024-09-19,0.0005876644894591544,0.0006781631599779374,2.7368105523750767e-06,-6.273690951402763e-07,0.0006781631599779374,0.0011720035743999126,3.0228347350245606e-06,-1.4901314007897044e-06,2.7368105523750767e-06,3.0228347350245606e-06,1.175175194499327e-07,3.0043762061423475e-09,-6.273690951402762e-07,-1.4901314007897044e-06,3.004376206142347e-09,8.606875362781002e-06
2024-09-20,0.0005641664144810309,0.0006762916781270547,2.6394116414624595e-06,-6.152623694882078e-07,0.0006762916781270547,0.0012140893280182172,3.028300790595447e-06,-1.5179477579751306e-06,2.63941164146246e-06,3.028300790595447e-06,1.1385378446610695e-07,2.960886270086142e-09,-6.152623694882078e-07,-1.5179477579751308e-06,2.960886270086142e-09,8.622610847204358e-06
2024-09-21,0.0005360568397894871,0.0006637052226239359,2.568605053560862e-06,-5.995803520190745e-07,0.0006637052226239359,0.0012306369730475679,3.043861741824593e-06,-1.5277368115955872e-06,2.568605053560862e-06,3.043861741824593e-06,1.134817531160632e-07,2.953516643890048e-09,-5.995803520190745e-07,-1.5277368115955872e-06,2.953516643890048e-09,8.616676583581407e-06
2024-09-22,0.0005102118648960585,0.0006341868041629084,2.552685954249614e-06,-5.851547377976864e-07,0.0006341868041629083,0.0011805214426157075,3.0368956683018318e-06,-1.4968829794248258e-06,2.552685954249614e-06,3.0368956683018313e-06,1.1775685872124808e-07,3.011859132943903e-09,-5.851547377976863e-07,-1.4968829794248256e-06,3.0118591329439027e-09,8.622707124990747e-06
2024-09-23,0.00048662195026429554,0.0006175622925401456,2.4772467139196865e-06,-5.706552877620853e-07,0.0006175622925401455,0.00117370762374557,3.0090096987558695e-06,-1.4905455424197692e-06,2.4772467139196865e-06,3.0090096987558695e-06,1.1627570881408169e-07,2.986521792199016e-09,-5.706552877620853e-07,-1.4905455424197692e-06,2.986521792199016e-09,8.598300838479567e-06
2024-09-24,0.000467535616006302,0.0006024948651672038,2.4254194459855794e-06,-5.598412452285015e-07,0.0006024948651672038,0.0011627394889374984,2.991520589698473e-06,-1.484676279281731e-06,2.42541944598558e-06,2.991520589698473e-06,1.1601171637548369e-07,2.987377795689965e-09,-5.598412452285014e-07,-1.484676279281731e-06,2.9873777956899653e-09,8.612535214814882e-06
