date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2025-05-23,-0.0006928729212643173,-0.00017111650566423297,-0.0008340418486394788,-0.00017782681382539465
2025-05-24,-0.0006886321444002518,-0.00017213976902501243,-0.0008343743823889098,-0.00017926640841763562
2025-05-25,-0.0006887628494342105,-0.00017430011758188648,-0.0008346264549739454,-0.0001799189129228709
2025-05-26,-0.0006715871758243198,-0.0001720908004251321,-0.0008200967770393058,-0.0001792748206775092
2025-05-27,-0.0006703454693983713,-0.0001710562015337725,-0.0008206070797795498,-0.00017842004549810275
2025-05-28,-0.0006684111301341866,-0.00016840248722563652,-0.0008206166539632078,-0.00017632335247186215
2025-05-29,-0.0006703551130152278,-0.0001682707215760286,-0.0008222513731914628,-0.00017638445912492734
2025-05-30,-0.0007040204222919757,-0.00017084570981910202,-0.0008773506891811716,-0.00018081333135814895
2025-05-31,-0.0007084081840742074,-0.00017175813352651842,-0.0008768338500698618,-0.0001816461201834319
2025-06-01,-0.0007218583136876872,-0.0001717420861022097,-0.0008905184773754335,-0.00018171402787176978
2025-06-02,-0.0007043742814031046,-0.00017179991824068177,-0.0008775259259694253,-0.00018258419809406647
2025-06-03,-0.000668340801720806,-0.000172050448130059,-0.0008366017030373634,-0.00018341544999911334
2025-06-04,-0.0006758243937919279,-0.0001735950282047051,-0.0008365018146529422,-0.00018340566070874025
2025-06-05,-0.0006749134480803427,-0.00017852391078062134,-0.0007358764722515768,-0.0001844364687691498
2025-06-06,-0.0006460288995081264,-0.00017833019661136598,-0.0007297361318795184,-0.0001856655720008101
2025-06-07,-0.0006749549880859234,-0.0001763314623339562,-0.0007356346922929419,-0.00018543260030274693
2025-06-08,-0.0006707282173217904,-0.0001754804966286124,-0.0007225326868486276,-0.00018469525638844728
2025-06-09,-0.0006706025981120743,-0.0001762064663777606,-0.0007223682788236826,-0.00018531167915747718
2025-06-10,-0.0006767504728556604,-0.0001808328714670762,-0.0007183850677128424,-0.00018531052682225585
2025-06-11,-0.0006771437328381608,-0.00018117275217762724,-0.0007296253148343522,-0.00019046802977444043
2025-06-12,-0.0006768921636881149,-0.0001812154748326151,-0.0007194705272461619,-0.00019047500180344661
2025-06-13,-0.0006783314250153489,-0.00017653409177290514,-0.0007226075347722018,-0.00018510575325100662
2025-06-14,-0.0006736507743978975,-0.00017574054621948557,-0.0007225395622216434,-0.00018267776478773546
2025-06-15,-0.0006725257942389133,-0.00017650405549730463,-0.0007219117938415625,-0.0001838011485287453
2025-06-16,-0.0006724061529351243,-0.00017603552623425515,-0.0007221759036054808,-0.00018270891562824904
2025-06-17,-0.0006742270078685728,-0.00017790680751847917,-0.0007359712718820442,-0.00018432940217757982
2025-06-18,-0.0006726792409378995,-0.000176380629332129,-0.000730430551678547,-0.00018374029912003985
